epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9487,0,115.923,0,0.00321,0.49388,0.0025,0.00061,3.14793,4.70604,2.49079,0.0001,0.0001,0.0001
2,100.929,0,111.854,0,0.0006,0.09252,0.00033,8e-05,3.02558,5.02192,2.94972,0.000215644,0.000215644,0.000215644
3,152.428,0,104.618,0,0.00019,0.02993,0.0001,2e-05,3.0057,5.07096,3.13891,0.000326536,0.000326536,0.000326536
4,204.265,0,96.2738,0,0.00013,0.02041,7e-05,1e-05,3.19841,5.52516,3.2299,0.000432676,0.000432676,0.000432676
5,255.753,0,88.1939,0,0.00011,0.01633,5e-05,1e-05,3.45393,5.30812,3.38814,0.000534064,0.000534064,0.000534064
6,307.7,0,84.3765,0,0.00011,0.01769,6e-05,1e-05,3.46924,5.19111,3.42186,0.0006307,0.0006307,0.0006307
7,359.81,0,78.0194,0,5e-05,0.00816,3e-05,0,3.94114,5.54368,3.84022,0.000722584,0.000722584,0.000722584
8,410.315,0,74.3754,0,4e-05,0.00544,2e-05,0,5.69957,5.22403,6.3943,0.000809716,0.000809716,0.000809716
9,456.916,0,70.4691,0,1e-05,0.00136,0,0,5.77863,5.01865,6.5052,0.000892096,0.000892096,0.000892096
10,502.412,0,68.4032,0,0.00011,0.01769,6e-05,1e-05,5.45416,5.0663,6.55855,0.000969724,0.000969724,0.000969724
11,562.069,0,66.0491,0,0,0,0,0,4.67605,37.8308,7.60474,0.0010426,0.0010426,0.0010426
12,614.595,0,64.124,0,4e-05,0.0068,2e-05,0,4.32091,4.85536,4.25752,0.00111072,0.00111072,0.00111072
13,666.565,0,62.9076,0,4e-05,0.0068,2e-05,1e-05,4.51217,4.77177,4.29508,0.0011741,0.0011741,0.0011741
14,718.478,0,60.9685,0,0.00012,0.01905,6e-05,1e-05,5.33608,10.2133,5.02091,0.00123272,0.00123272,0.00123272
15,769.448,0,59.2252,0,6e-05,0.00952,3e-05,1e-05,4.9836,4.84627,5.77664,0.00128658,0.00128658,0.00128658
16,820.143,0,57.6608,0,3e-05,0.00272,1e-05,1e-05,4.89689,4.6795,6.6426,0.0013357,0.0013357,0.0013357
17,870.871,0,55.9123,0,2e-05,0.00272,1e-05,0,5.0927,4.94747,5.3746,0.0013664,0.0013664,0.0013664
18,922.353,0,56.2963,0,0.00022,0.03401,0.00011,2e-05,4.80338,4.89123,9.3627,0.0013268,0.0013268,0.0013268
19,973.377,0,53.3198,0,6e-05,0.00952,3e-05,1e-05,5.03892,4.79161,5.18216,0.0012872,0.0012872,0.0012872
20,1024.67,0,51.5653,0,0.00022,0.03401,0.00011,2e-05,4.80335,5.30617,6.62072,0.0012476,0.0012476,0.0012476
21,1076.46,0,50.1597,0,0.00037,0.05714,0.0002,4e-05,4.20139,4.65591,12.9635,0.001208,0.001208,0.001208
22,1128.07,0,48.7508,0,0.00014,0.02177,7e-05,1e-05,4.37734,5.42197,37.6167,0.0011684,0.0011684,0.0011684
23,1179.7,0,46.9379,0,0.00015,0.02313,8e-05,1e-05,4.12951,4.76515,18.0918,0.0011288,0.0011288,0.0011288
24,1231.85,0,45.4247,0,0.00014,0.02177,7e-05,1e-05,3.57349,4.65204,4.75558,0.0010892,0.0010892,0.0010892
25,1283.81,0,43.9008,0,0.00011,0.01633,6e-05,1e-05,3.55149,4.60764,3.60272,0.0010496,0.0010496,0.0010496
26,1335.86,0,42.6272,0,0.00034,0.00136,0.0001,2e-05,3.79721,5.33896,3.92077,0.00101,0.00101,0.00101
27,1388.56,0,41.5925,0,0.00553,0.00136,0.00023,7e-05,3.60807,5.9783,4.65939,0.0009704,0.0009704,0.0009704
28,1440.97,0,40.3058,0,0.00191,0.02177,0.0006,0.0002,4.14764,6.19711,9.44709,0.0009308,0.0009308,0.0009308
29,1493.04,0,39.2592,0,0.00094,0.01224,0.00045,0.00013,4.02358,7.18018,8.07682,0.0008912,0.0008912,0.0008912
30,1544.38,0,38.3513,0,0.0003,0.04626,0.00016,5e-05,4.05631,11.4472,5.7665,0.0008516,0.0008516,0.0008516
31,1594.77,0,37.425,0,0.00035,0.05442,0.00019,5e-05,4.05018,4.94649,5.48939,0.000812,0.000812,0.000812
32,1645.48,0,36.7158,0,0.00051,0.00272,0.0001,3e-05,4.17627,8.37617,5.85122,0.0007724,0.0007724,0.0007724
33,1697.25,0,35.9245,0,0.00047,0.02177,0.00024,7e-05,3.98083,40.5669,7.2222,0.0007328,0.0007328,0.0007328
34,1751.1,0,35.2402,0,0.00023,0.02585,0.00012,4e-05,3.9799,500.761,9.87731,0.0006932,0.0006932,0.0006932
35,1800.21,0,34.4584,0,0.00022,0.01497,0.0001,3e-05,3.92988,44.9117,8.25876,0.0006536,0.0006536,0.0006536
36,1847.99,0,33.8938,0,0.00017,0.02585,9e-05,3e-05,4.13445,38.0525,3.98767,0.000614,0.000614,0.000614
37,1897.21,0,33.1745,0,0.00035,0.05306,0.00018,5e-05,4.32334,5.38584,4.0474,0.0005744,0.0005744,0.0005744
38,1946.04,0,32.7737,0,0.00016,0.02313,8e-05,2e-05,4.4702,4.42019,4.08203,0.0005348,0.0005348,0.0005348
39,1996.69,0,32.0483,0,5e-05,0.0068,3e-05,1e-05,4.49117,4.40811,3.89268,0.0004952,0.0004952,0.0004952
40,2044.19,0,31.5572,0,5e-05,0.0068,3e-05,0,4.45426,4.4115,3.78072,0.0004556,0.0004556,0.0004556
41,2089.85,0,31.1169,0,2e-05,0.00272,1e-05,0,4.49523,4.48539,3.77809,0.000416,0.000416,0.000416
42,2140.09,0,30.7831,0,2e-05,0.00272,1e-05,0,4.46516,4.38037,3.546,0.0003764,0.0003764,0.0003764
43,2190.53,0,30.362,0,2e-05,0.00272,1e-05,0,4.45542,4.38341,3.48755,0.0003368,0.0003368,0.0003368
44,2240.76,0,30.0227,0,3e-05,0.00408,2e-05,0,4.28746,4.36678,3.35373,0.0002972,0.0002972,0.0002972
45,2290.68,0,29.7396,0,3e-05,0.00408,2e-05,0,4.29134,4.34022,3.30408,0.0002576,0.0002576,0.0002576
46,2340.78,0,29.6065,0,3e-05,0.00408,2e-05,0,4.35358,4.28221,3.26668,0.000218,0.000218,0.000218
47,2391.31,0,29.3261,0,3e-05,0.00408,2e-05,0,4.40573,4.26486,3.28061,0.0001784,0.0001784,0.0001784
48,2441.54,0,29.219,0,1e-05,0.00136,1e-05,0,4.31586,4.31095,3.27924,0.0001388,0.0001388,0.0001388
49,2491.56,0,28.9965,0,1e-05,0.00136,1e-05,0,4.29753,4.3328,3.31313,9.92e-05,9.92e-05,9.92e-05
50,2541.91,0,28.9842,0,2e-05,0.00272,1e-05,0,4.25194,4.35564,3.32478,5.96e-05,5.96e-05,5.96e-05
